File Name,Detected Language,Confidence,Snippet,Mixed Languages
tel-03435883.txt,fr,0.8571402722951372,Les systèmes Toxine Antitoxine VapBC des régulateurs de la symbiose fixatrice d azote Rhizobium Légumineuse Camille Syska To cite this version Camille Syska Les systèmes Toxine Antitoxine VapBC des ré,"fr (0.86), en (0.14)"
tel-03435884.txt,fr,0.9999954106003787,Étude phylogénique de souches d alphaherpèsvirus isolées chez les équidés français et développement d un outil innovant pour la mesure des anticorps neutralisants après infection ou vaccination Gabrie,fr (1.00)
tel-03435885.txt,fr,0.9999986591186585,Multi scale studies of Measeles virus nucleocapsid assembly Serafima Guseva To cite this version Serafima Guseva Multi scale studies of Measeles virus nucleocapsid assembly Structural Biology q bio BM,fr (1.00)
tel-03435936.txt,fr,0.9999960121395144,Caractérisation génomique des anomalies de la pigmentation cutanée en mosaïque Arthur Sorlin To cite this version Arthur Sorlin Caractérisation génomique des anomalies de la pigmentation cutanée en mo,fr (1.00)
tel-03436011.txt,fr,0.9999962939982516,Le Conseil économique social et environnemental régional assemblée du dialogue des intérêts organisés dans la région Amandine Brizio To cite this version Amandine Brizio Le Conseil économique social e,fr (1.00)
tel-03436023.txt,Ambiguous (en),0.714283114033141,Optical Developments for Microscale Measurement and Control of Temperature in Optogenetics Chang Liu To cite this version Chang Liu Optical Developments for Microscale Measurement and Control of Tempe,"en (0.71), fr (0.29)"
tel-03436024.txt,fr,0.8571401316692514,Z boson and double charm production with ALICE at the LHC Sizar Aziz To cite this version Sizar Aziz Z boson and double charm production with ALICE at the LHC High Energy Physics Experiment hep ex Uni,"fr (0.86), en (0.14)"
tel-03436025.txt,fr,0.999997510433582,Caractérisation opto mécanique du verre traité par des méthodes thermo chimiques Oumessad Gridi To cite this version Oumessad Gridi Caractérisation opto mécanique du verre traité par des méthodes ther,fr (1.00)
tel-03436087.txt,fr,0.9999959257874971,La Dynamique sociale des pratiques stratification sociale changement social et consommation alimentaire Marie Plessz To cite this version Marie Plessz La Dynamique sociale des pratiques stratification,fr (1.00)
tel-03436137.txt,fr,0.9999975013170305,Random surface growth models hydrodynamic limits and fluctuations Vincent Lerouvillois To cite this version Vincent Lerouvillois Random surface growth models hydrodynamic limits and fluctuations Gener,fr (1.00)
tel-03436157.txt,en,0.8571406361581645,Remotely sensed rip current dynamics and morphological control in high energy beach environments Isaac Rodriguez Padilla To cite this version Isaac Rodriguez Padilla Remotely sensed rip current dynami,"en (0.86), fr (0.14)"
tel-03436173.txt,fr,0.9999956666567807,Three essays on spatial frictions Pierre Cotterlaz To cite this version Pierre Cotterlaz Three essays on spatial frictions Economics and Finance Institut d études poli tiques de paris Sciences Po 2021,fr (1.00)
